1691913265813627012,Richard Branson,richardbranson,2023-08-16 20:42:11+00:00,Partnerships like this make me so proud of the work our companies are doing to be a force for good in their communities. @VirginAustralia has partnered with @WhatAbility to create incredible experiences for people living with a disability. Here’s more: https://t.co/J4oWITrXPm https://t.co/H6F6jKe2MG,184,24,25,66121
1691820322230575258,Richard Branson,richardbranson,2023-08-16 14:32:51+00:00,"Well played @TheMatildas, what an amazing tournament. Hope you enjoy a very well-earned break with @VirginVoyages",113,18,12,85265
1691820197634621579,Richard Branson,richardbranson,2023-08-16 14:32:22+00:00,Congratulations @Lionesses. We'll be cheering you on in the final.,162,17,13,84099
1691432072953335808,Richard Branson,richardbranson,2023-08-15 12:50:06+00:00,"For the last five years, we’ve been so proud to support @lastmilehealth  through @VirginUnite, and it’s been remarkable to see the impact they are making: https://t.co/OwmSyj0E0K https://t.co/7ABvBYlfx4",189,27,29,60294
1691028189416402945,Richard Branson,richardbranson,2023-08-14 10:05:12+00:00,"On @VirginAtlantic’s Maiden Voyager, the pilots were Sir Viv Richards, Sir Ian Botham and yours truly. Kind of… here’s the story of what really happened: https://t.co/hYwBHkbEa7 https://t.co/Lwg2QDu7MU",415,48,52,88529
1690999298698194944,Richard Branson,richardbranson,2023-08-14 08:10:24+00:00,Space hair in full flow @virgingalactic https://t.co/FxRFLqs4yz,745,104,80,144708
1690349184854245376,Richard Branson,richardbranson,2023-08-12 13:07:05+00:00,"Happy birthday to my wonderful son, @sambranson. Absolutely loved this surprise gig you put on with @natimbruglia and @edsheeran. I would sing you Happy Birthday, but sadly you didn’t get your wonderful voice from me! @WavesRushIn https://t.co/9q4H4cFzc9",578,35,68,135815
1690062300860891137,Richard Branson,richardbranson,2023-08-11 18:07:07+00:00,"Brilliant that you can earn points while you sleep (in some seriously comfy beds), with @VirginHotels and @VirginRed. Here’s how: https://t.co/GQvQC1rYxy #VirginFamily https://t.co/dfIJJ5RtJU",172,23,32,59906
1689966443083788288,Richard Branson,richardbranson,2023-08-11 11:46:12+00:00,"A few #Galactic02 milestones: https://t.co/oJb9bw6ggk 
• 1st female astronauts from the Caribbean
• 1st mother-daughter duo in space
• Youngest person in space
• First Olympian in space
• @VirginGalactic's 7th spaceflight, 3rd this year &amp; 1st with all private astronauts! https://t.co/JyRNIFlDWL",816,141,73,105360
1689698418610909184,Richard Branson,richardbranson,2023-08-10 18:01:10+00:00,Amazing watching #Galactic02 with Keisha and Anastatia’s family in Antigua and Barbuda. Tears of joy! https://t.co/oJb9bw6ggk @virgingalactic https://t.co/lCQjnnN4yE,1226,154,97,175075
1689679227325489155,Richard Branson,richardbranson,2023-08-10 16:44:55+00:00,"Today we flew three incredible private passengers to space: Keisha Schahaff, Anastatia Mayers and Jon Goodwin. Congratulations @VirginGalactic commercial astronauts 011, 012 and 013 – welcome to the club! https://t.co/oJb9bw6ggk 
#Galactic02 https://t.co/PVQoH9q7Js",1479,204,118,156013
1689663436895195136,Richard Branson,richardbranson,2023-08-10 15:42:10+00:00,"Welcome back to Earth, #Galactic02! Our pilots, crew and spaceship have landed smoothly at Spaceport America, New Mexico. https://t.co/rzV1iyvmBA",0,372,0,Unavailable
1689660439192571904,Richard Branson,richardbranson,2023-08-10 15:30:15+00:00,"Release release, release! #VSSUnity has successfully released from our mothership #VMSEve and ignited the rocket motor. WATCH: https://t.co/5UalYTpQxj #Galactic02 https://t.co/LsGhPn1fbl",0,153,0,Unavailable
1689654475861135360,Richard Branson,richardbranson,2023-08-10 15:06:33+00:00,"LIVE: Watch Virgin Galactic's #Galactic02 spaceflight, crewed by our first private astronauts: Jon Goodwin, Keisha Schahaff and Anastatia Mayers.

🔗: https://t.co/Osej3kDyj5",0,114,0,Unavailable
1689652449240559619,Richard Branson,richardbranson,2023-08-10 14:58:30+00:00,"🤩 We have #Galactic02 take-off from @Spaceport_NM! Our livestream will begin shortly, around 9 am MDT | 11 am EDT, just prior to spaceship release. 

📺 WATCH: 
https://t.co/70ZDzf8stU https://t.co/PcOsegokfU",0,126,0,Unavailable
1689650806092673026,Richard Branson,richardbranson,2023-08-10 14:51:59+00:00,"Watch live: Galactic 02 Spaceflight. Breaking down barriers one spaceflight at a time. Witness Virgin Galactic's #Galactic02 mission, crewed by the first private astronauts who will also become the first Olympian and first Caribbean astronauts in space. https://t.co/PigJ1stFWX",489,122,53,80270
1689643944160968704,Richard Branson,richardbranson,2023-08-10 14:24:43+00:00,Proud to be in Antigua and Barbuda to watch today's historic @virgingalactic spaceflight alongside astronauts Keisha and Anastatia’s family and friends. Big hugs with Keisha's mum Florence! #Galactic02 https://t.co/1313b4AxII https://t.co/4cVnfltXjx,544,69,36,76429
1689640738416738305,Richard Branson,richardbranson,2023-08-10 14:11:58+00:00,VSS Unity and our #Galactic02 crew are on schedule to take-off from @Spaceport_NM! Our livestream will begin shortly after take-off and just before spaceship release at approx. 9:00 am MDT | 11:00 am EDT. WATCH: https://t.co/5UalYTpQxj https://t.co/5Cg34qYabW,0,63,0,Unavailable
1689624432988590081,Richard Branson,richardbranson,2023-08-10 13:07:11+00:00,"Jon Goodwin is to become the second person with Parkinson's to travel into space, and we'd like to wish him the best of luck 🚀 

@virgingalactic will be livestreaming the 90 minute flight which is due to take place around 4pm tomorrow.

Tune in here 👉🏾 https://t.co/ttqJ8fuSad https://t.co/W14TSFXC1u",0,44,0,37
1689622187303661568,Richard Branson,richardbranson,2023-08-10 12:58:15+00:00,It's time to turn dreams into reality! RT if you're ready for #Galactic02! Tune-in to our livestream at 9:00 am MDT | 11:00 am EDT to witness our first private astronaut mission. Watch at https://t.co/5UalYTpQxj https://t.co/2yteUGTZgX,0,165,0,26
1689561397829525504,Richard Branson,richardbranson,2023-08-10 08:56:42+00:00,How the war in Ukraine is changing Russia - and not for the better: https://t.co/GZFjI6czYO,172,42,31,53824
1689401278823018496,Richard Branson,richardbranson,2023-08-09 22:20:27+00:00,Sad to hear that Jamie Reid - the wonderful artist behind the Sex Pistols record covers - has died. A great artist with a neon legacy: https://t.co/ziXzHJW28Z https://t.co/mBhbjo3IxJ,212,34,28,63097
1689307220796698625,Richard Branson,richardbranson,2023-08-09 16:06:41+00:00,"A concerning report from @amnesty highlights how Iranian authorities are doubling down on their oppressive crackdown on women who choose not to wear headscarves in public. It’s a complete disregard for human dignity &amp; must be called out: https://t.co/6HUnKoDIBG 
#IranRevolution",1619,712,137,100331
1688950472189612032,Richard Branson,richardbranson,2023-08-08 16:29:06+00:00,Checkmate from my chess mate… https://t.co/D6hFOuH4l2,427,48,52,96436
1688583162224349185,Richard Branson,richardbranson,2023-08-07 16:09:32+00:00,Wonderful to show Monica Galetti and Rob Rinder around Kasbah Tamadot on the new season of Amazing Hotels on BBC2. You can watch the episode right here if you’re in the UK: https://t.co/CcAkZf88Ry @VirginLimitedEd,155,15,20,56217
1688541079165960193,Richard Branson,richardbranson,2023-08-07 13:22:19+00:00,"In what ways does your family inspire you? 
My family is my biggest inspiration, and my children are my greatest achievement. Without my family, I wouldn’t have the drive to keep dreaming &amp; to bounce back from setbacks. I’ve shared more on my blog: https://t.co/mTmTK5exWo https://t.co/BE1R11NQ3Z",461,49,56,65160
1688523154551959552,Richard Branson,richardbranson,2023-08-07 12:11:05+00:00,A quick dance on the red dock... https://t.co/dg5uPZCvw1,358,23,38,72338
1688238530785419264,Richard Branson,richardbranson,2023-08-06 17:20:06+00:00,"The new season of #AmazingHotels: Life Beyond the Lobby is starting soon (at 8pm, BST) on #BBC2. I'll be showing Monica Galetti and Rob Rinder around Kasbah Tamadot - our @VirginLimitedEd retreat in Morocco. Hope you can tune in! https://t.co/jOsfcQJ8Of https://t.co/RELtfluXY6",500,51,57,113365
1688096060479016960,Richard Branson,richardbranson,2023-08-06 07:53:58+00:00,Can't wait!,175,21,29,136662
1688095909232402432,Richard Branson,richardbranson,2023-08-06 07:53:22+00:00,"The news is finally out. We are so excited to announce that Kasbah Tamadot is kicking off the new season of Amazing Hotels: Life Beyond the Lobby this Sunday, 6th August at 8pm on BBC2. 

#kasbahtamadot #lifeyondthelobby #amazinghotels #morocco #bbctwo #luxury #travel https://t.co/OJdLGPaiRg",0,25,0,1
1688093465031147520,Richard Branson,richardbranson,2023-08-06 07:43:39+00:00,Brb... https://t.co/ePpJFTEZRm,772,61,72,159139
1687533424519659520,Richard Branson,richardbranson,2023-08-04 18:38:15+00:00,The story behind Son Bunyola - our new @VirginLimitedEd hotel in Mallorca: https://t.co/Vbtn2bs9Cm https://t.co/hT7vZEHDqJ,240,34,36,70843
1687116639173840897,Richard Branson,richardbranson,2023-08-03 15:02:06+00:00,Always keeping it red. #OnBrand https://t.co/41bXkZ59yV,446,33,57,80486
1687027128594747393,Richard Branson,richardbranson,2023-08-03 09:06:25+00:00,"What bold ideas could transform the education system, so it’s fit for the future? @HollyBranson shares 15 brilliant ideas from innovators backed by Big Change: https://t.co/NdTcU6aCcX

#education https://t.co/s4qUgOPh9P",178,28,26,59060
1686846671559233536,Richard Branson,richardbranson,2023-08-02 21:09:21+00:00,"What bold ideas could transform the education system, so it’s fit for the future? @HollyBranson shares 15 brilliant ideas from innovators backed by Big Change: https://t.co/NdTcU6aCcX https://t.co/v9gKeaytw2",271,29,30,78506
